N,OscNum,Topology,Coupling,InDegree,FreqVar,DelayConst,DelayVar,c1,c2
25,1,ERGrand,1,14,0,0,0,0.628318530717959,4.5238934211693
25,12,ERGrand,1,14,0,0,0,0.75398223686155,4.5238934211693
25,22,ERGrand,1,14,0,0,0,0.691150383789755,4.39822971502571
20,6,ERGrand,1,15,0,0,0,0.628318530717959,4.5867252742411
21,14,ERGrand,1,15,0,0,0,0.691150383789755,4.5238934211693
25,6,ERGrand,1,15,0,0,0,0.628318530717959,4.5238934211693
25,10,ERGrand,1,15,0,0,0,0.691150383789755,4.5238934211693
25,16,ERGrand,1,15,0,0,0,0.628318530717959,4.5238934211693
25,21,ERGrand,1,15,0,0,0,0.691150383789755,4.46106156809751
21,2,ERGrand,1,16,0,0,0,0.628318530717959,4.5238934211693
21,8,ERGrand,1,16,0,0,0,0.628318530717959,4.5238934211693
21,11,ERGrand,1,16,0,0,0,0.691150383789755,4.5238934211693
21,21,ERGrand,1,16,0,0,0,0.691150383789755,4.5238934211693
25,3,ERGrand,1,16,0,0,0,0.691150383789755,4.5238934211693
25,8,ERGrand,1,16,0,0,0,0.628318530717959,4.5238934211693
25,18,ERGrand,1,16,0,0,0,0.628318530717959,4.5238934211693
21,6,ERGrand,1,17,0,0,0,0.565486677646163,4.5867252742411
21,9,ERGrand,1,17,0,0,0,0.628318530717959,4.5238934211693
21,15,ERGrand,1,17,0,0,0,0.628318530717959,4.5238934211693
21,19,ERGrand,1,17,0,0,0,0.628318530717959,4.5238934211693
21,1,ERGrand,1,18,0,0,0,0.628318530717959,4.5238934211693
21,3,ERGrand,1,18,0,0,0,0.565486677646163,4.5238934211693
21,4,ERGrand,1,18,0,0,0,0.628318530717959,4.5867252742411
21,7,ERGrand,1,18,0,0,0,0.628318530717959,4.64955712731289
21,12,ERGrand,1,18,0,0,0,0.628318530717959,4.5238934211693
21,13,ERGrand,1,18,0,0,0,0.628318530717959,4.5238934211693
25,2,ERGrand,1,18,0,0,0,0.628318530717959,4.5867252742411
25,5,ERGrand,1,18,0,0,0,0.628318530717959,4.5867252742411
25,9,ERGrand,1,18,0,0,0,0.565486677646163,4.5867252742411
25,11,ERGrand,1,18,0,0,0,0.628318530717959,4.5867252742411
25,14,ERGrand,1,18,0,0,0,0.628318530717959,4.64955712731289
25,20,ERGrand,1,18,0,0,0,0.628318530717959,4.5867252742411
25,24,ERGrand,1,18,0,0,0,0.628318530717959,4.5867252742411
21,5,ERGrand,1,19,0,0,0,0.565486677646163,4.5867252742411
21,10,ERGrand,1,19,0,0,0,0.565486677646163,4.64955712731289
21,17,ERGrand,1,19,0,0,0,0.628318530717959,4.5867252742411
21,20,ERGrand,1,19,0,0,0,0.565486677646163,4.5867252742411
25,13,ERGrand,1,19,0,0,0,0.565486677646163,4.64955712731289
25,15,ERGrand,1,19,0,0,0,0.565486677646163,4.5867252742411
25,17,ERGrand,1,19,0,0,0,0.565486677646163,4.5867252742411
25,19,ERGrand,1,19,0,0,0,0.565486677646163,4.5238934211693
25,23,ERGrand,1,19,0,0,0,0.628318530717959,4.5867252742411
25,25,ERGrand,1,19,0,0,0,0.565486677646163,4.64955712731289
21,16,ERGrand,1,20,0,0,0,0.565486677646163,4.64955712731289
25,4,ERGrand,1,20,0,0,0,0.565486677646163,4.64955712731289
25,7,ERGrand,1,20,0,0,0,0.565486677646163,4.5867252742411
