N,OscNum,Topology,Coupling,InDegree,FreqVar,DelayConst,DelayVar,c1,c2
6,5,all,0.99,5,0,0,0,1.4451326206513,3.95840674352314
6,6,all,0.99,5,0,0,0,1.31946891450771,3.89557489045134
6,1,all,0.99,5,0,0,0,1.38230076757951,3.89557489045134
6,2,all,0.99,5,0,0,0,1.5079644737231,3.83274303737955
6,3,all,0.99,5,0,0,0,1.38230076757951,3.76991118430775
6,4,all,0.99,5,0,0,0,1.31946891450771,3.95840674352314
6,5,all,0.99,5,0,0,0,1.4451326206513,4.08407044966673
6,6,all,0.99,5,0,0,0,1.38230076757951,3.89557489045134
7,1,all,0.99,6,0,0,0,1.19380520836412,3.95840674352314
7,2,all,0.99,6,0,0,0,1.19380520836412,4.14690230273853
7,3,all,0.99,6,0,0,0,1.25663706143592,4.08407044966673
7,4,all,0.99,6,0,0,0,1.13097335529233,4.08407044966673
7,5,all,0.99,6,0,0,0,1.19380520836412,3.95840674352314
7,6,all,0.99,6,0,0,0,1.25663706143592,4.08407044966673
7,7,all,0.99,6,0,0,0,1.25663706143592,4.08407044966673
7,1,all,0.99,6,0,0,0,1.19380520836412,4.14690230273853
7,2,all,0.99,6,0,0,0,1.31946891450771,4.14690230273853
7,3,all,0.99,6,0,0,0,1.19380520836412,4.14690230273853
7,4,all,0.99,6,0,0,0,1.31946891450771,4.02123859659494
7,5,all,0.99,6,0,0,0,1.13097335529233,4.14690230273853
7,6,all,0.99,6,0,0,0,1.31946891450771,4.02123859659494
7,7,all,0.99,6,0,0,0,1.25663706143592,4.14690230273853
7,1,all,0.99,6,0,0,0,1.13097335529233,4.14690230273853
7,2,all,0.99,6,0,0,0,1.25663706143592,3.95840674352314
7,3,all,0.99,6,0,0,0,1.25663706143592,3.95840674352314
7,4,all,0.99,6,0,0,0,1.25663706143592,4.02123859659494
7,5,all,0.99,6,0,0,0,1.19380520836412,4.08407044966673
7,6,all,0.99,6,0,0,0,1.06814150222053,4.08407044966673
7,7,all,0.99,6,0,0,0,1.19380520836412,3.95840674352314
11,1,all,0.99,10,0,0,0,0.816814089933346,4.39822971502571
11,2,all,0.99,10,0,0,0,0.75398223686155,4.20973415581032
11,3,all,0.99,10,0,0,0,0.75398223686155,4.33539786195391
11,4,all,0.99,10,0,0,0,0.691150383789755,4.46106156809751
11,5,all,0.99,10,0,0,0,0.691150383789755,4.5238934211693
11,6,all,0.99,10,0,0,0,0.816814089933346,4.20973415581032
11,7,all,0.99,10,0,0,0,0.691150383789755,4.5238934211693
11,8,all,0.99,10,0,0,0,0.816814089933346,4.33539786195391
11,9,all,0.99,10,0,0,0,0.879645943005142,4.39822971502571
11,10,all,0.99,10,0,0,0,0.879645943005142,4.27256600888212
11,11,all,0.99,10,0,0,0,0.816814089933346,4.5238934211693
16,1,all,0.99,15,0,0,0,0.75398223686155,4.5867252742411
16,2,all,0.99,15,0,0,0,0.565486677646163,4.39822971502571
16,3,all,0.99,15,0,0,0,0.502654824574367,4.64955712731289
16,4,all,0.99,15,0,0,0,0.565486677646163,4.71238898038469
16,5,all,0.99,15,0,0,0,0.565486677646163,4.5867252742411
16,6,all,0.99,15,0,0,0,0.565486677646163,4.5867252742411
16,7,all,0.99,15,0,0,0,0.565486677646163,4.5867252742411
16,8,all,0.99,15,0,0,0,0.565486677646163,4.5238934211693
16,9,all,0.99,15,0,0,0,0.565486677646163,4.46106156809751
16,10,all,0.99,15,0,0,0,0.628318530717959,4.5867252742411
16,11,all,0.99,15,0,0,0,0.75398223686155,4.46106156809751
16,12,all,0.99,15,0,0,0,0.691150383789755,4.46106156809751
16,13,all,0.99,15,0,0,0,0.691150383789755,4.5867252742411
16,14,all,0.99,15,0,0,0,0.628318530717959,4.39822971502571
16,15,all,0.99,15,0,0,0,0.565486677646163,4.39822971502571
16,16,all,0.99,15,0,0,0,0.628318530717959,4.5867252742411
16,1,all,0.99,15,0,0,0,0.565486677646163,4.5238934211693
16,2,all,0.99,15,0,0,0,0.628318530717959,4.5867252742411
16,3,all,0.99,15,0,0,0,0.628318530717959,4.46106156809751
16,4,all,0.99,15,0,0,0,0.75398223686155,4.71238898038469
16,5,all,0.99,15,0,0,0,0.691150383789755,4.5238934211693
16,6,all,0.99,15,0,0,0,0.691150383789755,4.5238934211693
16,7,all,0.99,15,0,0,0,0.565486677646163,4.5238934211693
16,8,all,0.99,15,0,0,0,0.628318530717959,4.71238898038469
16,9,all,0.99,15,0,0,0,0.565486677646163,4.5867252742411
16,10,all,0.99,15,0,0,0,0.628318530717959,4.64955712731289
16,11,all,0.99,15,0,0,0,0.502654824574367,4.64955712731289
16,12,all,0.99,15,0,0,0,0.628318530717959,4.46106156809751
16,13,all,0.99,15,0,0,0,0.628318530717959,4.5238934211693
16,14,all,0.99,15,0,0,0,0.628318530717959,4.5238934211693
16,15,all,0.99,15,0,0,0,0.628318530717959,4.46106156809751
16,16,all,0.99,15,0,0,0,0.691150383789755,4.39822971502571
11,1,all,0.99,10,0,0,0,0.691150383789755,4.5238934211693
11,2,all,0.99,10,0,0,0,0.816814089933346,4.27256600888212
11,3,all,0.99,10,0,0,0,0.816814089933346,4.33539786195391
11,4,all,0.99,10,0,0,0,0.75398223686155,4.27256600888212
11,5,all,0.99,10,0,0,0,0.75398223686155,4.5238934211693
11,6,all,0.99,10,0,0,0,0.816814089933346,4.39822971502571
11,7,all,0.99,10,0,0,0,0.879645943005142,4.33539786195391
11,8,all,0.99,10,0,0,0,0.879645943005142,4.33539786195391
11,9,all,0.99,10,0,0,0,0.816814089933346,4.27256600888212
11,10,all,0.99,10,0,0,0,0.816814089933346,4.46106156809751
11,11,all,0.99,10,0,0,0,0.75398223686155,4.39822971502571
11,1,all,0.99,10,0,0,0,0.816814089933346,4.39822971502571
11,2,all,0.99,10,0,0,0,0.816814089933346,4.33539786195391
11,3,all,0.99,10,0,0,0,0.691150383789755,4.39822971502571
11,4,all,0.99,10,0,0,0,0.816814089933346,4.14690230273853
11,5,all,0.99,10,0,0,0,0.879645943005142,4.33539786195391
11,6,all,0.99,10,0,0,0,0.75398223686155,4.46106156809751
11,7,all,0.99,10,0,0,0,0.816814089933346,4.27256600888212
11,8,all,0.99,10,0,0,0,0.691150383789755,4.33539786195391
11,9,all,0.99,10,0,0,0,0.691150383789755,4.39822971502571
11,10,all,0.99,10,0,0,0,0.879645943005142,4.5238934211693
11,11,all,0.99,10,0,0,0,0.816814089933346,4.33539786195391
16,1,all,0.99,15,0,0,0,0.691150383789755,4.5238934211693
16,2,all,0.99,15,0,0,0,0.628318530717959,4.5238934211693
16,3,all,0.99,15,0,0,0,0.628318530717959,4.46106156809751
16,4,all,0.99,15,0,0,0,0.565486677646163,4.64955712731289
16,5,all,0.99,15,0,0,0,0.691150383789755,4.46106156809751
16,6,all,0.99,15,0,0,0,0.75398223686155,4.5238934211693
16,7,all,0.99,15,0,0,0,0.628318530717959,4.5867252742411
16,8,all,0.99,15,0,0,0,0.439822971502571,4.5867252742411
16,9,all,0.99,15,0,0,0,0.628318530717959,4.5867252742411
16,10,all,0.99,15,0,0,0,0.565486677646163,4.5867252742411
16,11,all,0.99,15,0,0,0,0.691150383789755,4.5238934211693
16,12,all,0.99,15,0,0,0,0.628318530717959,4.64955712731289
16,13,all,0.99,15,0,0,0,0.691150383789755,4.64955712731289
16,14,all,0.99,15,0,0,0,0.565486677646163,4.5867252742411
16,15,all,0.99,15,0,0,0,0.565486677646163,4.46106156809751
16,16,all,0.99,15,0,0,0,0.628318530717959,4.5867252742411
